timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-24 12:21:18,0.00,0.38,1.69,-13.88,30.94,136.50,26.81,27.56,58
2024-07-24 12:21:29,2.44,2.06,-1.88,-10.31,27.19,133.13,28.13,28.13,59
2024-07-24 12:21:38,0.75,3.00,0.56,-24.56,28.13,141.19,25.13,27.38,60
2024-07-24 12:21:46,-0.94,2.25,0.19,-0.75,27.00,135.56,28.69,29.81,61
2024-07-24 12:21:54,0.94,-0.94,1.69,3.19,26.63,151.31,30.56,28.69,62
2024-07-24 12:22:02,-0.56,0.94,0.00,42.94,28.88,149.81,28.31,28.50,63
2024-07-24 12:22:13,0.56,1.13,-0.38,16.31,24.19,147.75,25.88,28.88,64
2024-07-24 12:22:22,-0.19,1.31,-0.19,76.88,26.25,149.44,27.94,28.13,65
2024-07-24 12:22:30,1.31,1.50,1.50,36.19,26.44,144.94,28.50,28.69,66
2024-07-24 12:22:38,1.50,0.19,1.31,79.69,29.25,136.50,27.56,28.69,67
2024-07-24 12:22:49,3.38,4.13,0.19,64.88,29.44,145.50,29.63,27.56,68
2024-07-24 12:22:58,0.75,1.13,1.88,18.75,25.13,145.13,27.56,29.44,69
2024-07-24 12:23:06,2.25,1.31,1.31,68.06,30.38,129.19,27.19,29.63,70
2024-07-24 12:23:14,-0.38,2.25,0.75,46.50,30.00,136.31,29.25,29.63,71
2024-07-24 12:23:22,2.81,3.38,5.25,46.69,30.56,135.00,29.81,30.19,72
2024-07-24 12:23:30,0.00,0.00,0.56,24.19,33.75,130.88,29.06,29.63,73
2024-07-24 12:23:38,1.31,1.31,2.44,-18.38,30.75,127.13,29.06,30.56,74
2024-07-24 12:23:46,-0.38,0.75,0.94,37.31,26.25,126.94,28.88,29.44,75
2024-07-24 12:23:57,1.13,0.75,0.00,-23.81,31.69,129.38,31.50,30.19,76
2024-07-24 12:24:04,1.88,0.00,0.19,-18.38,28.88,118.31,28.88,29.44,77
2024-07-24 12:24:12,3.19,-1.88,-1.50,-13.13,29.06,136.88,30.94,29.44,78
2024-07-24 12:24:20,2.44,0.19,-1.13,-1.69,31.50,147.75,29.06,30.00,79
2024-07-24 12:24:31,1.31,0.75,0.00,-16.50,31.88,136.50,30.56,30.00,80
2024-07-24 12:24:38,-0.38,-0.19,5.06,6.56,29.25,154.69,29.44,30.56,81
2024-07-24 12:24:46,-0.38,2.63,1.50,-11.81,30.75,146.63,28.31,30.56,82
2024-07-24 12:24:57,0.75,-0.75,-0.94,25.69,30.00,154.50,33.38,30.00,83
2024-07-24 12:25:06,1.50,4.50,-0.19,45.00,28.88,9.38,30.19,29.25,84
2024-07-24 12:25:14,0.38,-0.56,-0.19,-15.56,30.75,7.69,28.50,30.75,85
2024-07-24 12:25:22,0.19,1.69,0.19,51.19,27.38,8.63,29.25,32.63,86
2024-07-24 12:25:30,-0.56,1.13,-1.31,20.63,30.00,121.69,28.31,30.00,87
2024-07-24 12:25:38,0.75,2.44,1.31,40.31,30.19,63.00,29.81,30.94,88
2024-07-24 12:25:46,0.56,2.44,1.69,57.00,30.75,110.81,30.38,28.31,89
2024-07-24 12:25:54,0.56,0.38,-0.75,17.81,28.69,129.38,27.38,29.81,90
2024-07-24 12:26:02,0.00,0.56,2.06,32.06,33.19,130.13,30.19,31.13,91
2024-07-24 12:26:10,1.31,0.75,0.94,40.50,29.63,132.00,28.50,30.00,92
2024-07-24 12:26:18,1.13,-0.19,0.00,-2.25,32.81,127.13,27.56,31.13,93
2024-07-24 12:26:26,4.69,-0.38,-1.31,15.00,27.75,144.56,31.31,31.50,94
2024-07-24 12:26:35,2.06,1.31,1.50,16.69,32.06,144.19,29.25,30.00,95
2024-07-24 12:26:42,1.31,1.31,2.63,22.31,27.94,150.00,30.75,30.00,96
2024-07-24 12:26:50,1.50,0.75,-0.75,5.63,28.69,145.88,30.75,30.56,97
2024-07-24 12:26:58,0.38,3.38,0.19,4.69,29.44,145.50,29.44,30.00,98
2024-07-24 12:27:06,0.56,0.00,0.75,10.13,30.38,147.19,30.00,30.75,99
2024-07-24 12:27:14,1.69,1.13,0.75,13.31,26.06,150.94,30.38,29.81,100
2024-07-24 12:27:22,-0.94,1.88,2.81,-27.75,26.06,152.44,26.25,30.75,101
2024-07-24 12:27:30,1.13,1.31,-1.13,4.13,28.31,150.94,28.69,30.75,102
2024-07-24 12:27:49,-1.88,0.94,-0.94,19.69,27.00,144.38,27.19,29.25,103
2024-07-24 12:28:04,0.94,0.19,-1.31,-7.13,30.75,136.50,26.63,30.38,104
2024-07-24 12:28:18,-0.56,1.69,1.13,4.13,27.38,130.31,28.31,30.38,105
2024-07-24 12:28:28,2.81,2.63,0.00,-9.75,28.88,144.38,27.56,29.44,106
2024-07-24 12:28:42,2.81,1.69,3.00,-15.94,29.06,136.31,28.50,28.69,107
2024-07-24 12:28:53,0.75,1.31,0.38,33.56,28.31,145.50,26.81,29.25,108
2024-07-24 12:29:10,-1.50,3.38,1.13,36.56,26.44,151.31,26.25,29.81,109
2024-07-24 12:29:18,3.38,2.25,0.00,12.56,25.50,149.81,24.75,27.38,110
2024-07-24 12:29:29,-1.50,-0.75,-0.75,39.94,31.31,151.69,27.38,28.88,111
2024-07-24 12:29:36,-0.38,0.00,-0.94,36.38,27.94,150.94,28.50,30.00,112
2024-07-24 12:29:44,1.69,0.19,1.88,-9.38,29.81,146.06,27.00,27.94,113
2024-07-24 12:29:52,-0.94,-1.31,1.88,42.94,28.88,150.94,29.06,29.06,114
2024-07-24 12:30:03,0.00,2.25,0.56,39.38,28.50,148.50,23.25,27.94,115
2024-07-24 12:30:15,2.06,0.56,-0.56,26.63,24.19,139.88,23.63,28.31,116
2024-07-24 12:30:24,1.69,3.38,-0.19,8.81,29.25,132.56,26.81,29.44,117
2024-07-24 12:30:43,0.56,1.50,1.31,26.81,24.94,132.38,27.94,27.94,118
2024-07-24 12:30:58,0.56,0.38,-0.75,4.69,24.94,135.00,26.63,27.00,119
2024-07-24 12:31:06,-1.13,2.25,1.13,-13.50,24.56,144.38,29.06,25.88,120
2024-07-24 12:31:17,-0.75,2.81,2.44,4.31,25.31,125.25,23.81,26.81,121
2024-07-24 12:31:24,-1.88,1.50,1.13,-0.75,28.13,139.88,28.13,26.44,122
2024-07-24 12:31:32,-1.31,0.94,2.06,9.94,30.38,148.88,25.69,27.00,123
2024-07-24 12:31:40,0.94,0.94,0.38,18.00,27.19,146.06,26.44,27.00,124
2024-07-24 12:31:48,0.75,0.00,-0.19,-10.13,24.56,137.25,30.94,27.56,125
2024-07-24 12:31:56,0.94,2.81,-0.75,-12.94,23.63,146.63,25.69,27.38,126
2024-07-24 12:32:06,-0.38,2.06,1.50,2.25,26.06,142.31,28.13,27.56,127
2024-07-24 12:32:23,1.50,0.75,1.50,9.94,23.81,148.31,26.63,27.56,128
2024-07-24 12:32:32,-1.31,2.06,-0.38,4.31,27.19,137.44,24.19,26.81,129
2024-07-24 12:32:40,0.19,3.75,-3.00,15.38,27.56,131.81,26.81,28.31,130
2024-07-24 12:32:49,1.31,0.19,-0.75,14.25,25.13,129.00,25.13,25.31,131
2024-07-24 12:32:58,-0.56,-1.13,-1.13,32.81,26.63,127.31,24.75,27.19,132
2024-07-24 12:33:06,0.94,0.19,-0.94,37.88,25.69,132.00,26.25,27.19,133
2024-07-24 12:33:14,1.69,2.06,0.00,12.94,28.13,120.19,25.31,27.19,134
2024-07-24 12:33:22,1.13,0.19,0.00,18.38,25.50,126.56,26.44,27.56,135
2024-07-24 12:33:30,0.56,3.56,1.31,36.00,29.44,116.81,24.75,27.38,136
2024-07-24 12:33:38,0.94,1.50,1.31,29.81,25.88,131.25,27.19,26.81,137
2024-07-24 12:33:46,1.31,1.50,-0.75,24.38,25.13,122.44,25.31,28.13,138
2024-07-24 12:33:54,-0.56,0.75,2.25,48.56,25.88,132.94,24.75,27.19,139
2024-07-24 12:34:02,-2.44,1.13,0.38,14.06,25.50,131.44,26.81,27.38,140
2024-07-24 12:34:10,-1.13,2.06,-1.50,17.06,24.94,136.50,28.13,27.56,141
2024-07-24 12:34:18,-0.38,2.25,0.19,-9.56,27.38,153.94,26.44,26.44,142
2024-07-24 12:34:26,2.81,0.75,2.06,9.38,26.06,143.63,27.19,27.56,143
2024-07-24 12:34:34,1.13,1.31,0.19,-4.88,26.63,143.81,27.00,26.81,144
2024-07-24 12:34:42,0.75,1.50,0.75,-8.06,23.81,133.50,25.31,25.69,145
2024-07-24 12:34:50,0.75,2.06,2.25,-13.31,27.75,141.75,29.81,26.81,146
2024-07-24 12:34:58,-0.75,-0.19,0.75,20.63,23.44,132.94,24.75,26.81,147
2024-07-24 12:35:06,1.13,3.00,-0.38,24.19,27.00,138.38,27.56,26.44,148
2024-07-24 12:35:14,1.88,2.81,-0.38,11.06,25.13,124.31,25.31,25.69,149
2024-07-24 12:35:22,-1.13,0.38,0.94,-14.81,22.88,125.81,25.31,25.50,150
2024-07-24 12:35:30,1.13,-1.31,-1.13,7.50,28.13,77.63,26.63,26.63,151
2024-07-24 12:35:39,1.88,1.69,0.75,62.44,25.13,82.50,26.63,26.81,152
2024-07-24 12:35:48,-0.38,1.88,0.94,28.13,25.13,121.69,25.88,28.13,153
2024-07-24 12:35:56,0.75,-0.75,-0.56,57.75,24.75,134.63,24.19,27.56,154
2024-07-24 12:36:04,0.75,-0.19,0.75,74.06,24.75,137.44,23.44,26.81,155
2024-07-24 12:36:24,0.00,-0.56,-0.19,63.75,25.50,134.44,26.44,27.38,156
2024-07-24 12:36:36,1.88,1.31,2.81,18.38,24.38,128.63,25.69,27.19,157
2024-07-24 12:36:46,-2.06,1.13,0.56,51.56,29.63,135.56,26.81,27.38,158
2024-07-24 12:36:54,2.81,0.19,3.19,20.63,27.56,145.31,27.00,28.69,159
2024-07-24 12:37:05,0.19,-0.75,-0.56,16.69,27.00,141.75,30.75,27.75,160
2024-07-24 12:37:23,1.50,2.63,-0.75,-15.75,29.06,131.81,27.00,28.50,161
2024-07-24 12:37:36,0.56,1.50,0.38,-28.88,28.50,130.50,28.50,28.31,162
2024-07-24 12:37:44,-0.75,0.94,0.00,-2.81,26.25,136.31,25.88,27.75,163
2024-07-24 12:37:57,-1.50,1.50,1.31,-9.75,27.94,127.50,29.25,28.50,164
2024-07-24 12:38:06,0.94,4.13,0.56,11.44,26.44,137.44,30.56,29.63,165
2024-07-24 12:38:22,-1.69,2.25,0.38,-2.25,28.69,126.38,30.94,30.38,166
2024-07-24 12:38:35,1.69,2.06,-1.13,41.06,29.81,146.06,28.31,30.19,167
2024-07-24 12:38:46,0.19,2.06,0.00,49.13,27.75,141.38,27.19,29.44,168
2024-07-24 12:38:57,2.06,3.75,2.06,45.38,28.88,149.25,29.06,31.13,169
2024-07-24 12:39:06,2.06,1.31,1.69,18.94,28.50,146.63,28.13,29.44,170
2024-07-24 12:39:17,-0.38,3.19,-0.19,3.38,30.19,150.19,29.44,29.81,171
2024-07-24 12:39:26,3.38,1.50,-0.38,18.00,24.75,150.38,28.69,29.63,172
2024-07-24 12:39:34,2.63,0.94,1.31,39.38,28.88,138.75,28.13,27.75,173
2024-07-24 12:39:42,2.44,1.13,0.00,-27.94,29.44,135.56,26.25,27.75,174
2024-07-24 12:39:50,-0.38,2.44,0.56,33.38,26.44,143.44,26.44,27.19,175
2024-07-24 12:39:58,2.63,1.50,0.56,-5.06,24.75,127.50,27.75,26.81,176
