timestamp,X1,X2,Y1,Y2,D1,D2,Z1,Z2,id
2024-07-28 00:00:22,77.06,177.94,166.69,231.19,70.50,14.06,22.88,28.31,1
2024-07-28 00:00:52,74.06,176.25,166.50,231.56,70.50,14.81,24.19,28.69,2
2024-07-28 00:01:22,64.50,177.19,166.88,230.06,70.69,14.25,22.88,29.06,3
2024-07-28 00:01:52,57.56,177.94,165.56,231.00,71.06,13.69,24.56,29.25,4
2024-07-28 00:02:23,47.81,176.63,166.88,231.38,72.19,15.56,24.00,29.25,5
2024-07-28 00:02:53,58.88,177.19,168.00,232.13,71.25,14.81,23.81,29.06,6
2024-07-28 00:03:23,46.50,176.44,167.44,231.38,72.38,14.44,23.44,27.94,7
2024-07-28 00:03:53,56.81,175.50,168.75,231.94,70.88,15.38,23.81,26.81,8
2024-07-28 00:04:23,49.50,174.38,167.25,232.31,69.94,14.63,23.63,26.44,9
2024-07-28 00:04:53,61.31,168.19,170.25,232.31,69.56,13.88,23.81,27.19,10
2024-07-28 00:05:23,60.19,165.75,171.38,233.63,68.81,15.38,23.06,28.50,11
2024-07-28 00:05:53,41.81,162.56,171.19,233.63,68.81,14.81,22.88,29.44,12
2024-07-28 00:06:23,96.56,162.00,172.69,234.38,69.94,14.44,26.44,29.63,13
2024-07-28 00:06:53,71.25,169.13,172.13,233.44,70.31,15.94,23.44,28.69,14
2024-07-28 00:07:23,67.50,171.00,172.13,232.69,71.44,16.69,23.44,27.56,15
2024-07-28 00:07:53,61.69,175.13,169.88,233.63,69.94,14.63,22.88,26.81,16
2024-07-28 00:08:23,54.19,176.25,168.75,234.00,71.06,14.44,23.44,26.63,17
2024-07-28 00:08:53,59.81,177.94,168.19,233.63,70.88,15.38,24.38,26.81,18
2024-07-28 00:09:23,85.88,178.13,169.50,233.44,72.19,14.25,24.19,27.00,19
2024-07-28 00:09:53,76.31,178.88,168.56,233.63,70.31,14.44,22.88,27.56,20
2024-07-28 00:10:23,72.38,178.88,172.13,233.63,70.88,14.06,23.44,28.13,21
2024-07-28 00:10:53,68.81,177.75,169.69,233.25,72.19,13.88,23.63,28.69,22
2024-07-28 00:11:23,56.44,176.63,169.88,232.88,71.44,13.50,25.50,29.25,23
2024-07-28 00:11:53,77.81,177.00,170.06,231.75,72.56,13.31,22.50,29.63,24
2024-07-28 00:12:23,56.63,176.06,169.13,231.19,71.63,15.56,23.25,29.63,25
2024-07-28 00:12:53,66.56,174.56,170.44,231.38,71.63,14.06,24.94,29.44,26
2024-07-28 00:13:23,69.38,172.31,170.63,230.81,72.38,14.25,24.19,29.44,27
2024-07-28 00:13:53,73.31,171.38,170.06,231.56,71.63,15.56,23.81,29.06,28
2024-07-28 00:14:23,53.63,169.50,170.25,231.75,70.88,15.19,24.19,28.50,29
2024-07-28 00:14:54,58.13,166.88,169.50,231.56,72.56,14.44,22.88,28.13,30
2024-07-28 00:15:24,50.81,165.75,170.44,231.38,70.69,15.38,24.38,27.56,31
2024-07-28 00:15:54,62.81,166.13,169.88,231.38,70.88,15.75,23.63,27.00,32
2024-07-28 00:16:24,36.19,165.56,168.75,231.00,69.56,14.25,24.00,26.81,33
2024-07-28 00:16:54,29.63,166.50,168.00,230.63,68.81,14.81,22.50,26.63,34
2024-07-28 00:17:24,41.81,167.44,168.38,230.25,68.81,14.25,24.19,26.44,35
2024-07-28 00:17:54,48.19,167.63,168.56,230.63,69.56,14.81,23.25,26.44,36
2024-07-28 00:18:24,64.69,168.75,167.06,229.88,69.75,15.19,24.56,26.63,37
